rule,count,win_rate,avg_return,median_return,max_return,min_return,score
pull_to_entry_amount_anomaly_avg <= 1.62836,65,56.92,2.93,1.19,45.49,-11.9,6.329600000000001
pull_to_entry_cvd_ratio >= -0.04597,55,58.18,2.37,1.19,30.9,-14.52,6.3184000000000005
hold_max_daily_main_outflow_ratio >= -0.13103,54,57.41,2.97,1.13,59.71,-14.24,6.3168
launch_to_entry_max_daily_super_outflow_ratio <= -0.019154,65,56.92,2.82,1.19,59.71,-18.38,6.307600000000001
launch_to_entry_return_pct <= 8.5,55,58.18,2.31,1.19,45.49,-14.24,6.3064
discover_to_entry_super_net_ratio <= 0.0257445,53,58.49,2.16,1.19,45.49,-11.36,6.3012000000000015
pullback_depth_from_launch_peak_pct <= -4.266,65,56.92,2.55,1.19,45.49,-18.38,6.2536000000000005
setup_score <= 96.376,65,56.92,2.47,1.19,59.71,-18.38,6.2376000000000005
pull_to_entry_positive_l2_bar_ratio_avg >= 0.551,54,55.56,3.52,1.08,59.71,-18.38,6.2288
pull_to_entry_positive_l2_bar_ratio_avg >= 0.47552,65,55.38,2.84,1.19,59.71,-18.38,6.1884
pre5_super_price_divergence >= 0.084755,41,53.66,3.46,1.19,59.71,-14.24,6.174799999999999
pre20_return_pct >= -17.785,41,58.54,2.1,1.07,59.71,-14.52,6.1732000000000005
launch_to_entry_cvd_ratio >= -0.042754,65,55.38,3.24,1.07,59.71,-14.52,6.1484000000000005
pre5_return_pct <= -8.8615,53,54.72,3.48,1.07,59.71,-18.38,6.1436
hold_max_daily_super_outflow_ratio >= -0.07443,42,52.38,3.87,1.13,59.71,-14.24,6.0944
discover_to_entry_super_net_ratio <= 0.012115,41,58.54,1.65,1.07,45.49,-11.36,6.083200000000001
discover_to_entry_support_spread_avg <= 0.11419,65,56.92,1.62,1.19,45.49,-11.9,6.0676000000000005
discover_to_entry_buy_support_avg <= 1.53917,65,56.92,1.61,1.19,45.49,-14.24,6.065600000000001
hold_amount_sum >= 3.81963e+09,65,55.38,2.76,1.07,59.71,-18.38,6.0524000000000004
launch_to_entry_order_event_count_sum <= 864166,53,54.72,3.51,0.97,59.71,-14.52,6.0496
discover_to_entry_max_daily_super_outflow_ratio <= -0.07338,42,57.14,2.27,1.02,45.49,-14.52,6.0452
discover_to_entry_oib_ratio <= 0.000945,41,58.54,1.42,1.07,45.49,-11.9,6.0372
discover_to_entry_oib_ratio <= 0.143212,65,56.92,1.44,1.19,45.49,-14.24,6.031600000000001
launch_to_entry_amount_avg <= 2.31428e+09,66,54.55,2.93,1.08,59.71,-16.72,6.03
launch_to_entry_support_spread_avg <= 0.123698,65,56.92,1.37,1.19,45.49,-14.24,6.017600000000001
hold_cum_main_ratio_max_drawdown >= -0.05483,41,58.54,1.32,1.07,21.82,-18.38,6.017200000000001
duplicate_symbol_count_in_v1 >= 2,47,57.45,1.12,1.19,30.63,-18.38,6.01
pullback_support_spread_avg >= -0.021022,53,54.72,3.27,0.97,59.71,-18.38,6.0016
launch_to_entry_oib_ratio <= 0.113982,65,56.92,1.25,1.19,45.49,-14.24,5.993600000000001
pre20_main_price_divergence <= 0.152995,41,56.1,2.12,1.07,59.71,-18.38,5.982000000000001
hold_cum_super_ratio_min >= -0.052858,65,52.31,3.03,1.19,59.71,-14.52,5.9808
launch_to_entry_super_positive_day_ratio <= 0.5714,42,54.76,3.14,0.97,59.71,-18.38,5.9788
pull_to_entry_main_net_ratio >= 0.05119,41,53.66,3.52,0.97,59.71,-18.38,5.966799999999999
pull_to_entry_max_daily_main_outflow_ratio >= 0.05119,41,53.66,3.52,0.97,59.71,-18.38,5.966799999999999
pull_to_entry_active_buy_strength_avg >= 5.11885,41,53.66,3.52,0.97,59.71,-18.38,5.966799999999999
pull_to_entry_main_price_divergence >= 0.05119,41,53.66,3.52,0.97,59.71,-18.38,5.966799999999999
hold_add_buy_ratio <= 1.45849,66,54.55,2.91,1.02,59.71,-18.38,5.966
pullback_support_spread_avg >= 0.01585,43,53.49,3.58,0.97,59.71,-18.38,5.9652
pull_to_entry_support_spread_avg >= 0.01585,43,53.49,3.58,0.97,59.71,-18.38,5.9652
pull_to_entry_oib_ratio >= 0.01585,43,53.49,3.58,0.97,59.71,-18.38,5.9652
launch_to_entry_amount_sum <= 9.73779e+09,53,54.72,3.08,0.97,59.71,-14.52,5.9636
launch3_return_pct <= 7.9345,53,54.72,3.05,0.97,45.49,-14.24,5.9576
discover_to_entry_super_positive_day_ratio <= 0.74286,65,55.38,2.28,1.07,59.71,-18.38,5.9564
discover_to_entry_add_sell_ratio >= 1.36021,41,53.66,3.46,0.97,59.71,-16.72,5.9548
duplicate_symbol_count_in_v1 <= 3,72,54.17,2.99,1.02,59.71,-18.38,5.9516
launch_to_entry_main_price_divergence <= -0.027685,41,51.22,3.91,1.07,59.71,-18.38,5.9496
discover_to_entry_amount_sum <= 1.3315e+10,53,54.72,2.95,0.97,59.71,-14.52,5.9376
launch_to_entry_cvd_ratio >= -0.022384,53,54.72,2.95,0.97,59.71,-11.9,5.9376
launch_to_entry_max_daily_main_outflow_ratio <= -0.07041,41,53.66,2.23,1.19,59.71,-18.38,5.928799999999999
hold_add_buy_ratio >= 1.32493,42,52.38,3.81,0.97,59.71,-14.52,5.9224
confirm_distribution_score <= 36.71,41,53.66,3.29,0.97,59.71,-18.38,5.9208
hold_max_drawdown_pct >= -9.786,65,55.38,2.06,1.07,45.49,-14.24,5.912400000000001
hold_buy_support_avg >= 1.32824,41,53.66,3.24,0.97,59.71,-14.52,5.9108
discover_to_entry_add_buy_ratio <= 1.50414,65,55.38,1.42,1.19,45.49,-14.24,5.9044
launch_to_entry_super_positive_day_ratio <= 0.720845,53,54.72,2.77,0.97,59.71,-18.38,5.9016
pull_to_entry_add_buy_ratio >= 1.00805,65,53.85,3.09,0.97,59.71,-18.38,5.896
pre5_super_price_divergence >= 0.05287,65,53.85,2.96,0.97,59.71,-18.38,5.869999999999999
pre20_return_pct <= -13.516,65,50.77,3.08,1.19,59.71,-18.38,5.8675999999999995
hold_max_drawdown_pct >= -7.08,56,55.36,2.08,1.02,27.1,-14.24,5.864800000000001
hold_amount_anomaly_avg >= 0.89952,65,53.85,2.93,0.97,59.71,-18.38,5.864
setup_score >= 82.802,65,53.85,2.91,0.97,59.71,-18.38,5.859999999999999
launch3_add_buy_ratio >= 1.40174,42,54.76,2.5,0.97,59.71,-18.38,5.8508
launch_to_entry_main_price_divergence >= -0.042681,53,54.72,2.49,0.97,59.71,-14.24,5.8456
pre5_return_pct >= -13.806,65,55.38,1.7,1.07,59.71,-18.38,5.840400000000001
launch3_add_buy_ratio <= 1.60949,66,54.55,2.26,1.02,45.49,-14.24,5.836
hold_cancel_buy_ratio >= 0.000702,65,52.31,2.27,1.19,59.71,-18.38,5.8288
duplicate_symbol_count_in_v1 <= 2,57,50.88,3.38,1.07,59.71,-16.72,5.816400000000001
hold_max_daily_super_outflow_ratio >= -0.095768,65,53.85,2.68,0.97,59.71,-18.38,5.814
rank >= 2,67,55.22,1.61,1.07,45.49,-18.38,5.8096000000000005
launch3_return_pct <= 10.418,65,53.85,2.63,0.97,45.49,-14.24,5.803999999999999
discover_to_entry_oib_ratio <= 0.0211815,53,56.6,1.02,1.07,45.49,-11.9,5.8020000000000005
pre20_main_price_divergence >= 0.121826,65,52.31,3.19,0.97,59.71,-18.38,5.7928
pre5_return_pct <= -10.19,41,51.22,3.62,0.97,59.71,-16.72,5.7916
launch_to_entry_max_daily_main_outflow_ratio >= -0.122064,65,52.31,3.12,0.97,59.71,-18.38,5.7788
pre20_main_price_divergence <= 0.197842,65,53.85,2.42,0.97,59.71,-18.38,5.762
launch_to_entry_super_net_ratio <= 0.016925,41,56.1,1.51,0.97,45.49,-11.36,5.76
launch_to_entry_super_price_divergence <= -0.012712,65,53.85,2.4,0.97,59.71,-18.38,5.757999999999999
launch_to_entry_super_price_divergence >= -0.03527,43,53.49,2.53,0.97,59.71,-18.38,5.7552
pre20_super_price_divergence <= 0.168675,41,56.1,1.48,0.97,59.71,-18.38,5.7540000000000004
launch_to_entry_buy_support_avg <= 1.54776,65,55.38,1.26,1.07,45.49,-14.24,5.752400000000001
pull_to_entry_amount_sum <= 2.94733e+09,65,53.85,2.3,0.97,45.49,-16.72,5.7379999999999995
pull_to_entry_amount_avg <= 2.94733e+09,65,53.85,2.3,0.97,45.49,-16.72,5.7379999999999995
launch3_max_drawdown_pct >= 0,70,54.29,1.83,1.02,59.71,-18.38,5.7292000000000005
pull_to_entry_add_buy_ratio <= 1.4682,53,52.83,1.54,1.19,45.49,-14.24,5.724399999999999
pull_to_entry_support_spread_avg >= -0.03808,54,51.85,3.03,0.97,59.71,-18.38,5.724
pull_to_entry_oib_ratio >= -0.03808,54,51.85,3.03,0.97,59.71,-18.38,5.724
launch_to_entry_max_daily_super_outflow_ratio <= -0.0394215,53,54.72,1.87,0.97,45.49,-18.38,5.7216
discover_to_entry_cvd_ratio >= -0.0354265,53,52.83,2.62,0.97,59.71,-11.9,5.7204
launch_to_entry_super_price_divergence >= -0.0520885,53,52.83,2.62,0.97,59.71,-18.38,5.7204
launch_to_entry_max_drawdown_pct >= -5.25,66,53.03,2.53,0.97,59.71,-14.52,5.7184
discover_to_entry_max_daily_main_outflow_ratio <= -0.02509,67,53.73,2.24,0.97,59.71,-18.38,5.7164
hold_cancel_sell_ratio <= 0.37803,66,53.03,2.52,0.97,59.71,-18.38,5.7164
pre5_super_price_divergence <= 0.0950795,53,54.72,1.33,1.07,30.9,-18.38,5.7136000000000005
launch_to_entry_max_daily_super_outflow_ratio >= -0.05711,41,51.22,2.73,1.07,59.71,-16.72,5.7136000000000005
discover_to_entry_super_price_divergence >= -0.072012,65,53.85,2.13,0.97,59.71,-18.38,5.704
hold_buy_support_avg <= 1.48091,65,53.85,2.04,0.97,45.49,-18.38,5.686
pullback_super_net_ratio <= 0.0324,54,55.56,1.09,1.02,45.49,-14.24,5.6828
launch_to_entry_order_event_count_sum <= 1.45507e+06,65,52.31,2.64,0.97,59.71,-14.52,5.6828
pull_to_entry_cancel_buy_ratio >= 0.000684,53,50.94,2.68,1.07,59.71,-18.38,5.6812000000000005
launch_to_entry_max_daily_main_outflow_ratio <= -0.02327,66,53.03,2.34,0.97,59.71,-18.38,5.6804
hold_amount_avg >= 7.48028e+08,65,52.31,2.52,0.97,59.71,-18.38,5.658799999999999
hold_add_buy_ratio <= 1.41698,53,52.83,1.2,1.19,45.49,-18.38,5.6564
pullback_super_net_ratio >= -0.008636,65,52.31,2.48,0.97,59.71,-18.38,5.6508
pull_to_entry_super_net_ratio >= -0.008636,65,52.31,2.48,0.97,59.71,-18.38,5.6508
pull_to_entry_max_daily_super_outflow_ratio >= -0.008636,65,52.31,2.48,0.97,59.71,-18.38,5.6508
pull_to_entry_super_price_divergence >= -0.008636,65,52.31,2.48,0.97,59.71,-18.38,5.6508
launch3_return_pct >= 5.941,53,50.94,2.43,1.07,59.71,-18.38,5.6312
hold_sell_pressure_avg >= 0.545842,65,53.85,1.72,0.97,59.71,-18.38,5.622
discover_to_entry_cancel_buy_ratio <= 0.010465,41,51.22,2.75,0.97,59.71,-18.38,5.6175999999999995
discover_to_entry_add_buy_ratio >= 0.927234,65,52.31,2.21,0.97,59.71,-18.38,5.5968
launch_to_entry_add_buy_ratio >= 0.919692,65,52.31,2.21,0.97,59.71,-18.38,5.5968
discover_to_entry_amount_avg <= 2.31054e+09,65,52.31,2.17,0.97,59.71,-16.72,5.5888
launch3_max_drawdown_pct <= 0,82,52.44,2.11,0.97,59.71,-18.38,5.587199999999999
launch_to_entry_days >= 4,82,52.44,2.11,0.97,59.71,-18.38,5.587199999999999
hold_big_super_outflow_days >= 0,82,52.44,2.11,0.97,59.71,-18.38,5.587199999999999
duplicate_symbol_count_in_v1 >= 1,82,52.44,2.11,0.97,59.71,-18.38,5.587199999999999
discover_to_entry_cancel_sell_ratio <= 0.359758,65,52.31,2.08,0.97,59.71,-18.38,5.5708
launch_to_entry_max_daily_super_outflow_ratio <= -0.05711,41,53.66,1.5,0.97,45.49,-18.38,5.562799999999999
pre20_return_pct >= -20.216,53,52.83,1.83,0.97,59.71,-18.38,5.562399999999999
launch_to_entry_super_positive_day_ratio <= 0.75,67,52.24,2.04,0.97,59.71,-18.38,5.5572
discover_to_entry_support_spread_avg <= 0.029525,53,54.72,1.04,0.97,45.49,-11.9,5.5556
launch_to_entry_cancel_sell_ratio <= 0.367908,65,52.31,2.0,0.97,59.71,-18.38,5.5548
launch3_super_net_ratio >= 0.015778,53,50.94,2.04,1.07,59.71,-18.38,5.5532
pull_to_entry_cancel_sell_ratio <= 0.37283,68,52.94,1.71,0.97,59.71,-18.38,5.547199999999999
launch3_super_net_ratio <= 0.02466,42,52.38,1.93,0.97,45.49,-11.9,5.5464
pull_to_entry_main_net_ratio >= -0.010884,65,52.31,1.95,0.97,59.71,-18.38,5.5447999999999995
pull_to_entry_max_daily_main_outflow_ratio >= -0.010884,65,52.31,1.95,0.97,59.71,-18.38,5.5447999999999995
pull_to_entry_active_buy_strength_avg >= -1.08828,65,52.31,1.95,0.97,59.71,-18.38,5.5447999999999995
pull_to_entry_main_price_divergence >= -0.010884,65,52.31,1.95,0.97,59.71,-18.38,5.5447999999999995
pullback_main_net_ratio >= -0.018922,65,52.31,1.92,0.97,59.71,-18.38,5.5388
launch_to_entry_super_price_divergence >= -0.0714,67,52.24,1.91,0.97,59.71,-18.38,5.531199999999999
discover_to_entry_max_daily_main_outflow_ratio >= -0.119683,53,50.94,2.43,0.97,45.49,-18.38,5.531199999999999
hold_cancel_sell_ratio <= 0.334772,53,50.94,2.41,0.97,59.71,-18.38,5.5272
pull_to_entry_add_buy_ratio >= 1.17165,53,50.94,2.41,0.97,59.71,-18.38,5.5272
pull_to_entry_positive_l2_bar_ratio_avg >= 0.64945,41,51.22,2.28,0.97,59.71,-18.38,5.5236
pull_to_entry_cvd_ratio >= -0.074268,65,52.31,1.84,0.97,59.71,-16.72,5.5228
discover_to_entry_max_daily_super_outflow_ratio >= -0.0904,67,52.24,1.86,0.97,59.71,-18.38,5.521199999999999
discover_to_entry_sell_pressure_avg >= 1.35057,41,51.22,2.26,0.97,59.71,-16.72,5.5196
hold_max_daily_super_outflow_ratio <= -0.058001,53,54.72,0.81,0.97,45.49,-18.38,5.5096
pull_to_entry_cancel_sell_ratio <= 0.002505,41,51.22,2.15,0.97,59.71,-18.38,5.497599999999999
launch_to_entry_positive_l2_bar_ratio_avg >= 0.45998,65,50.77,2.32,0.97,59.71,-18.38,5.4956
hold_buy_support_avg <= 1.42253,53,50.94,1.12,1.19,45.49,-18.38,5.4892
hold_buy_support_avg <= 1.32824,41,51.22,0.99,1.19,45.49,-18.38,5.4856
launch_to_entry_sell_pressure_avg >= 0.54323,66,51.52,1.95,0.97,59.71,-18.38,5.481599999999999
discover_to_entry_cancel_sell_ratio <= 0.000835,41,51.22,2.06,0.97,59.71,-18.38,5.4796
launch_to_entry_add_buy_ratio <= 1.51025,65,53.85,0.96,0.97,45.49,-14.24,5.47
launch_to_entry_sell_pressure_avg >= 1.35723,41,51.22,2.0,0.97,59.71,-16.72,5.4676
launch_to_entry_max_daily_main_outflow_ratio >= -0.07041,41,51.22,1.99,0.97,45.49,-11.9,5.465599999999999
pre20_main_price_divergence >= 0.140791,53,50.94,2.07,0.97,30.9,-18.38,5.459199999999999
launch_to_entry_add_sell_ratio >= 1.32919,41,51.22,1.92,0.97,45.49,-16.72,5.4516
discover_to_entry_order_event_count_sum <= 1.56219e+06,65,50.77,2.07,0.97,59.71,-18.38,5.4456
launch_to_entry_max_drawdown_pct >= -3.602,53,50.94,1.99,0.97,59.71,-14.52,5.443199999999999
discover_to_entry_add_sell_ratio <= 1.36021,41,51.22,0.77,1.19,30.9,-18.38,5.441599999999999
hold_amount_avg <= 1.91131e+09,53,52.83,1.22,0.97,45.49,-16.72,5.4403999999999995
discover_to_entry_amount_sum >= 5.78948e+09,65,52.31,1.42,0.97,59.71,-18.38,5.4388
discover_to_entry_days <= 10,69,50.72,2.03,0.97,59.71,-18.38,5.433599999999999
pre20_return_pct >= -23.2,65,52.31,1.38,0.97,59.71,-18.38,5.4308
hold_big_super_outflow_days <= 3,75,52.0,1.46,0.97,59.71,-18.38,5.422
setup_score <= 92.39,54,51.85,1.22,1.02,45.49,-18.38,5.412000000000001
pullback_support_spread_avg <= 0.12701,69,53.62,0.76,0.97,30.9,-14.24,5.4116
launch_to_entry_return_pct <= 11.072,65,52.31,1.27,0.97,45.49,-14.24,5.408799999999999
pull_to_entry_amount_sum >= 6.14389e+08,65,52.31,1.25,0.97,59.71,-18.38,5.4048
pull_to_entry_amount_avg >= 6.14389e+08,65,52.31,1.25,0.97,59.71,-18.38,5.4048
discover_to_entry_sell_pressure_avg >= 0.53076,65,50.77,1.86,0.97,59.71,-18.38,5.4036
pull_to_entry_buy_support_avg <= 1.56754,67,50.75,1.28,1.07,45.49,-14.24,5.386000000000001
pull_to_entry_order_event_count_sum >= 63235.4,65,52.31,1.15,0.97,59.71,-18.38,5.3848
pre5_return_pct >= -10.19,41,53.66,0.6,0.97,30.9,-18.38,5.3828
pullback_super_net_ratio <= 0.02324,41,53.66,0.6,0.97,45.49,-11.36,5.3828
pullback_super_net_ratio <= 0.052228,65,52.31,1.1,0.97,45.49,-14.24,5.3748
launch3_return_pct <= 6.875,41,51.22,1.52,0.97,45.49,-11.9,5.3716
discover_to_entry_cancel_sell_ratio <= 0.327469,53,50.94,1.61,0.97,59.71,-18.38,5.3671999999999995
launch_to_entry_cancel_sell_ratio <= 0.312915,53,50.94,1.61,0.97,59.71,-18.38,5.3671999999999995
discover_to_entry_main_price_divergence >= -0.07025,65,50.77,1.63,0.97,59.71,-18.38,5.3576
pull_to_entry_main_net_ratio <= 0.0874865,53,50.94,1.06,1.07,45.49,-14.24,5.3572
pull_to_entry_max_daily_main_outflow_ratio <= 0.0874865,53,50.94,1.06,1.07,45.49,-14.24,5.3572
pull_to_entry_active_buy_strength_avg <= 8.74842,53,50.94,1.06,1.07,45.49,-14.24,5.3572
pull_to_entry_main_price_divergence <= 0.0874865,53,50.94,1.06,1.07,45.49,-14.24,5.3572
confirm_distribution_score >= 36.71,41,51.22,0.93,1.07,45.49,-14.24,5.3536
pre5_super_price_divergence <= 0.116242,65,52.31,0.96,0.97,30.9,-18.38,5.3468
hold_cum_super_ratio_max_drawdown >= -0.0341855,53,52.83,0.73,0.97,27.1,-18.38,5.3424
launch_to_entry_amount_sum >= 3.66809e+09,65,50.77,1.54,0.97,59.71,-18.38,5.3396
pull_to_entry_support_spread_avg <= 0.12701,68,52.94,0.66,0.97,30.9,-14.24,5.337199999999999
pull_to_entry_oib_ratio <= 0.12701,68,52.94,0.66,0.97,30.9,-14.24,5.337199999999999
pull_to_entry_sell_pressure_avg >= 0.597753,53,50.94,1.45,0.97,59.71,-18.38,5.3351999999999995
discover_to_entry_amount_sum <= 1.93111e+10,65,50.77,1.51,0.97,59.71,-16.72,5.333600000000001
launch_to_entry_main_price_divergence >= -0.027685,41,53.66,0.31,0.97,45.49,-14.24,5.3248
discover_to_entry_order_event_count_sum >= 546639,65,52.31,0.85,0.97,59.71,-18.38,5.3248
launch_to_entry_order_event_count_sum >= 377285,66,51.52,1.09,0.97,59.71,-18.38,5.3096
pull_to_entry_main_net_ratio <= 0.05119,41,51.22,0.7,1.07,45.49,-14.24,5.3076
pull_to_entry_max_daily_main_outflow_ratio <= 0.05119,41,51.22,0.7,1.07,45.49,-14.24,5.3076
pull_to_entry_active_buy_strength_avg <= 5.11885,41,51.22,0.7,1.07,45.49,-14.24,5.3076
pull_to_entry_main_price_divergence <= 0.05119,41,51.22,0.7,1.07,45.49,-14.24,5.3076
pre20_super_price_divergence <= 0.224098,65,50.77,1.28,0.97,59.71,-18.38,5.2876
pre20_super_price_divergence <= 0.192971,53,50.94,1.18,0.97,59.71,-18.38,5.281199999999999
pre20_main_price_divergence <= 0.176608,53,50.94,1.16,0.97,59.71,-18.38,5.2772
pull_to_entry_sell_pressure_avg >= 0.554596,65,50.77,1.2,0.97,59.71,-18.38,5.2716
discover_to_entry_amount_avg >= 7.6028e+08,65,50.77,1.03,0.97,59.71,-18.38,5.2376000000000005
launch_to_entry_amount_avg >= 7.58797e+08,65,50.77,1.03,0.97,59.71,-18.38,5.2376000000000005
hold_support_spread_avg <= 0.04018,66,51.52,0.69,0.97,30.63,-18.38,5.2296
hold_oib_ratio <= 0.03182,66,51.52,0.69,0.97,30.63,-18.38,5.2296
launch3_super_net_ratio >= 0.01087,65,50.77,0.96,0.97,59.71,-18.38,5.2236
pre5_super_price_divergence <= 0.084755,41,51.22,0.76,0.97,30.9,-18.38,5.2196
hold_cum_main_ratio_max_drawdown >= -0.07012,55,52.73,0.06,0.97,21.82,-18.38,5.200399999999999
hold_cum_super_ratio_max_drawdown >= -0.057332,65,52.31,0.14,0.97,27.1,-18.38,5.182799999999999
hold_amount_avg <= 2.38566e+09,65,50.77,0.67,0.97,45.49,-16.72,5.1656
pull_to_entry_cvd_ratio >= 0.008065,41,51.22,0.39,0.97,30.63,-14.52,5.1456
pull_to_entry_super_net_ratio <= 0.048343,53,50.94,0.5,0.97,45.49,-14.24,5.145199999999999
pull_to_entry_max_daily_super_outflow_ratio <= 0.048343,53,50.94,0.5,0.97,45.49,-14.24,5.145199999999999
pull_to_entry_super_price_divergence <= 0.048343,53,50.94,0.5,0.97,45.49,-14.24,5.145199999999999
hold_support_spread_avg <= 0.02017,54,51.85,0.03,0.97,21.82,-18.38,5.1240000000000006
hold_oib_ratio <= 0.00521,54,51.85,0.03,0.97,21.82,-18.38,5.1240000000000006
hold_big_super_outflow_days >= 1,61,50.82,0.4,0.97,45.49,-18.38,5.1156
pull_to_entry_super_net_ratio <= 0.02633,41,51.22,-0.44,0.97,45.49,-14.24,4.9796
pull_to_entry_max_daily_super_outflow_ratio <= 0.02633,41,51.22,-0.44,0.97,45.49,-14.24,4.9796
pull_to_entry_super_price_divergence <= 0.02633,41,51.22,-0.44,0.97,45.49,-14.24,4.9796
pull_to_entry_cvd_ratio <= 0.06569,66,50.0,2.3,0.47,59.71,-18.38,4.93
rank <= 8,68,50.0,2.1,0.47,59.71,-18.38,4.89
launch_to_entry_main_positive_day_ratio >= 0.5,68,50.0,1.88,0.47,59.71,-18.38,4.846
hold_buy_support_avg >= 0.54913,66,50.0,1.84,0.47,59.71,-18.38,4.838
launch_to_entry_add_sell_ratio >= 0.8954,68,50.0,1.62,0.47,59.71,-18.38,4.794
launch_to_entry_days <= 7,68,50.0,1.6,0.47,59.71,-18.38,4.79
pull_to_entry_positive_l2_bar_ratio_avg <= 0.7143,54,50.0,1.31,0.52,45.49,-14.24,4.782
pull_to_entry_positive_l2_bar_ratio_avg <= 0.7755,66,50.0,1.26,0.52,45.49,-14.24,4.771999999999999
pull_to_entry_add_buy_ratio <= 1.56812,66,50.0,1.24,0.52,45.49,-14.24,4.768
hold_max_daily_main_outflow_ratio >= -0.15346,66,50.0,1.42,0.47,59.71,-18.38,4.754
launch_to_entry_amount_sum <= 1.62338e+10,66,50.0,1.41,0.47,59.71,-16.72,4.752
launch_to_entry_cancel_buy_ratio >= 0.002589,53,49.06,2.67,-0.03,59.71,-18.38,4.428800000000001
launch_to_entry_super_net_ratio >= 0.006724,65,49.23,2.58,-0.03,59.71,-18.38,4.4244
pre20_super_price_divergence >= 0.168675,41,48.78,2.74,-0.03,45.49,-18.38,4.420400000000001
launch_to_entry_super_net_ratio >= 0.016925,41,48.78,2.71,-0.03,59.71,-18.38,4.4144000000000005
discover_to_entry_cancel_buy_ratio >= 0.002327,53,49.06,2.59,-0.03,59.71,-18.38,4.412800000000001
pre20_super_price_divergence >= 0.133798,65,49.23,2.44,-0.03,59.71,-18.38,4.3964
launch_to_entry_super_positive_day_ratio >= 0.5,69,49.28,2.41,-0.03,59.71,-18.38,4.3944
launch_to_entry_super_net_ratio >= 0.011009,53,49.06,2.47,-0.03,59.71,-18.38,4.388800000000001
discover_to_entry_support_spread_avg >= -0.0151465,53,49.06,2.26,-0.03,59.71,-18.38,4.3468
discover_to_entry_oib_ratio >= -0.0166955,53,49.06,2.25,-0.03,59.71,-18.38,4.3448
discover_to_entry_cvd_ratio >= -0.049998,65,49.23,2.16,-0.03,59.71,-16.72,4.3404
hold_cancel_sell_ratio <= 0.00086,43,48.84,2.28,-0.03,59.71,-18.38,4.333200000000001
discover_to_entry_positive_l2_bar_ratio_avg >= 0.44096,65,49.23,2.1,-0.03,59.71,-18.38,4.3284
discover_to_entry_add_sell_ratio >= 0.984238,53,49.06,2.14,-0.03,59.71,-18.38,4.322800000000001
launch_to_entry_add_sell_ratio >= 0.981549,53,49.06,2.14,-0.03,59.71,-18.38,4.322800000000001
discover_to_entry_add_buy_ratio >= 1.15317,53,49.06,2.09,-0.03,59.71,-18.38,4.3128
pull_to_entry_cancel_sell_ratio >= 0.000417,53,49.06,2.07,-0.03,59.71,-14.52,4.308800000000001
pre20_main_price_divergence >= 0.152995,41,48.78,2.11,-0.03,30.9,-18.38,4.2944
hold_add_buy_ratio >= 0.929794,65,49.23,1.85,-0.03,59.71,-18.38,4.2783999999999995
discover_to_entry_cancel_buy_ratio <= 0.354154,53,49.06,1.85,-0.03,59.71,-18.38,4.2648
pull_to_entry_add_sell_ratio >= 1.07011,53,49.06,1.85,-0.03,59.71,-18.38,4.2648
discover_to_entry_amount_anomaly_avg >= 0.837195,53,49.06,1.84,-0.03,59.71,-18.38,4.2628
confirm_distribution_score <= 50.504,65,49.23,1.75,-0.03,59.71,-18.38,4.2584
hold_add_buy_ratio >= 1.01893,53,49.06,1.8,-0.03,59.71,-18.38,4.2548
launch_to_entry_support_spread_avg >= -0.044652,65,49.23,1.71,-0.03,59.71,-18.38,4.2504
discover_to_entry_amount_anomaly_avg >= 0.73968,65,49.23,1.69,-0.03,59.71,-18.38,4.2463999999999995
