symbol,name,runup_pct,runup_start_date,runup_end_date,runup_start_price,runup_end_price,drawdown_pct,drawdown_start_date,drawdown_end_date,drawdown_start_price,drawdown_end_price,period_return_pct,amount_avg,anchor_date_for_audit,candidate_count,candidate_dates,has_pullback_confirm_candidate,candidate_only_filter_reasons,m04b_trade_count,m04b_entry_dates,m04b_best_return_pct,m04b_worst_return_pct,m04b_exit_reasons,nearest_date,stage_status,setup_score_at_anchor,candidate_ok_at_anchor,primary_anchor_reason,anchor_total_amount,anchor_distribution_score,anchor_pre20_return_pct,anchor_pre20_super_price_divergence,anchor_pre20_main_price_divergence,anchor_pre5_return_pct,anchor_pre5_super_price_divergence,anchor_launch_start,anchor_launch_end,anchor_pullback_confirm_date,anchor_pullback_reason,anchor_launch3_return_pct,anchor_launch3_max_drawdown_pct,anchor_launch3_super_net_ratio,anchor_launch3_main_net_ratio,anchor_launch3_add_buy_ratio,anchor_pullback_super_net_ratio,anchor_pullback_main_net_ratio,anchor_pullback_support_spread_avg,anchor_confirm_distribution_score,anchor_launch_cancel_buy_to_add_buy,anchor_launch_cancel_buy_to_add_buy_vs_hist,miss_or_hit_status,primary_reason_bucket,recommended_owner
sh600396,华电辽能,237.5,2026-03-04,2026-04-24,3.2,10.8,-31.3,2026-03-27,2026-04-13,9.49,6.52,178.79,1509162312.25,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,0.0,False,成交额<2.5亿;setup_score<50;资金价格背离不足,116483823.0,90.0,7.54,-0.10377,-0.11417,1.86,-0.08381,2026-03-04,2026-03-06,2026-03-09,pullback_absorption_confirm,10.91,0.0,0.21552,0.19617,2.62218,-0.01925,0.02329,0.03993,29.03,0.74512,1.4576,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sh603538,美诺华,193.77,2026-03-04,2026-04-24,20.22,59.4,-16.32,2026-03-31,2026-04-01,43.99,36.81,160.66,1652257971.54,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,10.57,False,成交额<2.5亿;setup_score<50,108080249.52,89.17,-3.81,0.02966,-0.00366,-2.65,0.01989,2026-03-05,2026-03-09,,no_pullback_confirm,9.72,0.0,0.01152,0.0168,0.97823,,,,,0.51702,1.1181,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sh600726,华电能源,171.21,2026-03-04,2026-03-27,2.64,7.16,-38.41,2026-03-27,2026-04-21,7.16,4.41,114.02,1536138740.41,2026-03-04,2,"2026-04-21,2026-04-23",False,v1_3_ladder_pull_filter:2,0,,,,,2026-03-04,setup_rejected,2.7,False,成交额<2.5亿;setup_score<50;资金价格背离不足,169911373.54,48.27,6.69,-0.04899,-0.05233,2.65,-0.01803,2026-03-05,2026-03-09,2026-03-10,pullback_absorption_confirm,6.18,0.0,-0.00114,0.02227,1.20313,0.32392,0.28183,0.52002,30.14,0.556,1.066,missed,被挂单诱多过滤,S04复核，避免误杀真强票
sz002580,圣阳股份,168.05,2026-03-18,2026-04-20,12.55,33.64,-23.81,2026-04-20,2026-04-23,33.64,25.63,109.85,1390606652.13,2026-03-18,0,,False,,0,,,,,2026-03-18,setup_rejected,24.33,False,成交额<2.5亿;setup_score<50,201565423.68,55.74,-1.21,0.01098,0.00432,-4.65,0.03625,2026-03-18,2026-03-20,2026-03-25,pullback_absorption_confirm,8.94,0.0,0.03664,0.05944,1.76121,0.13025,0.10265,0.57314,25.12,0.04281,215.1366,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sz002980,华盛昌,167.62,2026-03-05,2026-04-21,31.47,84.22,-15.32,2026-03-17,2026-03-23,40.28,34.11,158.21,883399351.94,2026-03-05,0,,False,,0,,,,,2026-03-05,setup_rejected,2.15,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,885019911.02,62.5,55.98,-0.5293,-0.5592,29.16,-0.25628,2026-03-09,2026-03-11,2026-03-16,pullback_absorption_confirm,6.04,0.0,0.00756,0.00839,1.50521,0.00486,-0.02184,0.5737,15.48,0.00078,0.1796,missed,起点前已涨过/过热,S02趋势中继
sz000890,法尔胜,149.08,2026-03-02,2026-04-07,7.07,17.61,-35.43,2026-04-07,2026-04-15,17.61,11.37,92.65,1132691776.66,2026-03-02,2,"2026-04-15,2026-04-20",True,,1,2026-04-23,-0.56,-0.56,window_end,2026-03-02,setup_rejected,11.59,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,983923455.75,12.87,43.71,-0.39256,-0.40423,41.59,-0.37437,2026-03-02,2026-03-04,2026-03-11,pullback_absorption_confirm,5.22,-4.39,0.05653,0.04601,1.95902,0.06426,0.02051,0.08039,12.31,0.0,0.0,hit,已交易,S01已覆盖
sh603778,国晟科技,144.79,2026-03-02,2026-04-09,14.0,34.27,-29.68,2026-04-09,2026-04-17,34.27,24.1,88.16,2680609713.76,2026-03-02,1,2026-03-03,False,,0,,,,,2026-03-02,anchor_chain_passed,63.42,True,锚点附近链路可通过,788213638.76,74.0,-19.29,0.17036,0.13133,-3.04,0.0326,2026-03-02,2026-03-04,2026-03-06,pullback_absorption_confirm,12.2,0.0,0.05801,0.04311,1.2492,0.13356,0.10095,0.13001,36.0,0.0,0.0,missed,有发现但无回调确认,S02/等待中继，不强塞S01
sz003018,金富科技,143.6,2026-03-23,2026-04-24,23.81,58.0,-21.96,2026-03-16,2026-03-23,30.51,23.81,119.46,477290504.73,2026-03-23,0,,False,,0,,,,,2026-03-23,setup_rejected,24.65,False,成交额<2.5亿;setup_score<50,213872376.0,43.15,7.14,-0.0334,-0.03602,-5.01,0.05843,2026-03-24,2026-03-26,2026-03-27,pullback_absorption_confirm,12.88,0.0,0.13147,0.09905,2.294,0.04535,0.0871,0.07466,22.0,0.0805,7.5051,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sz001309,德明利,140.06,2026-03-03,2026-04-23,227.0,544.93,-18.16,2026-03-18,2026-03-24,374.0,306.1,98.69,6527117528.85,2026-03-03,1,2026-03-04,True,v1_3_ladder_pull_filter:1,0,,,,,2026-03-03,anchor_chain_passed,55.73,True,锚点附近链路可通过,2404191330.29,86.0,-11.39,0.09857,0.10385,-3.69,0.01082,2026-03-03,2026-03-05,2026-03-06,pullback_absorption_confirm,11.99,0.0,0.05166,0.02345,1.93059,0.11877,0.06987,0.04416,12.0,0.00286,6.4118,missed,被挂单诱多过滤,S04复核，避免误杀真强票
sz002384,东山精密,133.33,2026-03-02,2026-04-24,84.0,196.0,-17.98,2026-03-16,2026-03-27,120.5,98.83,106.42,10309347282.7,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,15.0,False,setup_score<50;前20日涨幅>12;前5日涨幅>8;资金价格背离不足,7804819318.9,12.25,17.02,-0.13002,-0.12964,18.28,-0.1577,2026-03-02,2026-03-04,2026-03-06,pullback_absorption_confirm,4.36,0.0,0.03967,0.05392,1.30084,0.00522,0.00083,0.08167,12.0,0.0,0.0,missed,起点前已涨过/过热,S02趋势中继
sh603115,海星股份,130.72,2026-03-09,2026-04-24,26.82,61.88,-16.24,2026-04-01,2026-04-13,48.35,40.5,89.29,500325022.6,2026-03-09,0,,False,,0,,,,,2026-03-09,setup_rejected,19.26,False,setup_score<50;前20日涨幅>12,309620479.0,69.05,26.25,-0.22989,-0.22798,-6.18,0.08726,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,10.62,0.0,0.05756,0.03192,1.31967,0.00741,0.06219,0.03288,36.0,0.5427,1.1346,missed,起点前已涨过/过热,S02趋势中继
sh600488,津药药业,129.35,2026-03-23,2026-04-08,3.68,8.44,-30.45,2026-04-08,2026-04-14,8.44,5.87,46.41,473031475.75,2026-03-23,0,,False,,0,,,,,2026-03-23,setup_rejected,43.46,False,成交额<2.5亿;setup_score<50,61254057.12,33.44,-6.76,0.06684,0.0257,-4.76,0.03381,2026-03-23,2026-03-25,,no_pullback_confirm,7.32,0.0,0.01847,0.05313,1.10524,,,,,0.49453,0.9526,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sh603629,利通电子,124.23,2026-03-09,2026-04-23,53.08,119.02,-23.25,2026-03-20,2026-03-24,71.88,55.17,69.99,2504073679.42,2026-03-09,0,,False,,0,,,,,2026-03-09,setup_rejected,48.95,False,setup_score<50;前20日涨幅>12,2530242018.39,26.0,36.44,-0.3444,-0.3655,-12.8,0.11469,2026-03-09,2026-03-11,2026-03-16,pullback_absorption_confirm,8.62,-1.26,0.05972,0.0771,0.92739,0.00732,-0.01676,-0.002,43.19,0.40564,0.9309,missed,起点前已涨过/过热,S02趋势中继
sh600683,京投发展,124.22,2026-03-02,2026-04-24,6.4,14.35,-25.98,2026-03-24,2026-04-07,11.47,8.49,99.56,376822579.56,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,26.59,False,成交额<2.5亿;setup_score<50;前20日涨幅>12,220982861.33,52.0,47.91,-0.45422,-0.46354,-6.66,0.08813,2026-03-06,2026-03-10,2026-03-11,pullback_absorption_confirm,4.14,0.0,0.0176,-0.00024,1.0884,-0.01526,0.02063,-0.02074,36.93,0.50121,0.9407,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sz002297,博云新材,122.5,2026-03-23,2026-04-24,10.09,22.45,-30.37,2026-03-02,2026-03-23,14.49,10.09,66.05,700273974.18,2026-03-23,0,,False,,0,,,,,2026-03-23,setup_ok_no_launch,57.77,True,候选通过但未找到启动3日,290613011.9,72.37,-13.92,0.11887,0.10159,-7.91,0.03235,,,,no_launch,,,,,,,,,,,,missed,启动确认缺失,S01启动识别可优化
sz002082,万邦德,122.06,2026-03-04,2026-04-07,16.32,36.24,-24.39,2026-04-07,2026-04-23,36.24,27.4,55.31,977933847.54,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,30.71,False,成交额<2.5亿;setup_score<50,158675194.35,52.08,2.69,-0.01707,-0.01349,-8.15,0.05199,2026-03-05,2026-03-09,2026-03-19,pullback_absorption_confirm,11.74,0.0,0.09567,0.11595,2.72668,0.02755,0.04498,0.00184,12.0,0.04141,21.4,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sz002361,神剑股份,121.81,2026-03-24,2026-04-23,10.73,23.8,-25.64,2026-03-02,2026-03-24,14.43,10.73,56.19,3128932019.79,2026-03-24,1,2026-03-18,True,v1_3_ladder_pull_filter:1,0,,,,,2026-03-24,anchor_chain_passed,79.77,True,锚点附近链路可通过,623815626.05,54.89,-18.84,0.1981,0.17677,-9.17,0.06496,2026-03-24,2026-03-26,2026-03-27,pullback_absorption_confirm,11.71,0.0,0.13814,0.13531,1.83646,0.26169,0.23961,1.31472,21.76,0.00762,23.2459,missed,被挂单诱多过滤,S04复核，避免误杀真强票
sz002432,九安医疗,119.36,2026-03-02,2026-04-23,43.28,94.94,-23.31,2026-04-10,2026-04-17,94.8,72.7,66.99,2712494917.8,2026-03-02,0,,False,,0,,,,,2026-03-02,setup_rejected,18.76,False,setup_score<50;资金价格背离不足,2443508391.82,22.0,3.93,-0.04184,-0.0566,6.12,-0.04003,2026-03-02,2026-03-04,2026-03-09,pullback_absorption_confirm,4.42,0.0,0.08174,0.04952,1.63031,0.03914,0.07485,0.03007,18.33,0.0,0.0,missed,资金背离不足,非S01或需S03消息面解释
sz002957,科瑞技术,116.96,2026-03-23,2026-04-21,23.76,51.55,-24.98,2026-03-03,2026-03-23,31.67,23.76,61.34,941242862.1,2026-03-23,0,,False,,0,,,,,2026-03-23,anchor_chain_passed,52.07,True,锚点附近链路可通过,485251854.28,73.35,-15.4,0.16343,0.14819,-1.19,0.00891,2026-03-26,2026-03-30,2026-03-31,pullback_absorption_confirm,6.14,0.0,-0.00387,0.01441,1.47103,0.00715,0.01608,-0.08524,45.64,0.00012,0.0842,missed,链路可过但未进每日Top10,S01排序/容量问题
sh601869,长飞光纤,115.62,2026-03-09,2026-04-23,196.12,422.88,-22.92,2026-03-02,2026-03-09,254.44,196.12,51.87,5240256218.6,2026-03-09,0,,False,,0,,,,,2026-03-09,setup_rejected,37.54,False,setup_score<50;前20日涨幅>12,2733032113.12,69.51,34.07,-0.34286,-0.37352,-12.05,0.11156,2026-03-09,2026-03-11,2026-03-12,pullback_absorption_confirm,17.64,0.0,0.08321,0.05336,1.31116,-0.04409,-0.04989,0.06604,65.93,0.55711,1.1902,missed,起点前已涨过/过热,S02趋势中继
sz002990,盛视科技,114.55,2026-03-04,2026-04-24,25.22,54.11,-18.33,2026-04-20,2026-04-21,54.05,44.14,103.88,402661304.2,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,69.5,False,成交额<2.5亿,62343192.0,49.51,-11.23,0.09288,0.10196,-9.22,0.05504,,,,no_launch,,,,,,,,,,,,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sz002328,新朋股份,113.62,2026-03-24,2026-04-17,6.24,13.33,-17.33,2026-04-17,2026-04-24,13.33,11.02,60.46,673768095.3,2026-03-24,0,,False,,0,,,,,2026-03-24,setup_rejected,73.08,False,成交额<2.5亿,222799419.48,22.0,-10.64,0.11359,0.11098,-5.2,0.09711,2026-03-25,2026-03-27,,no_pullback_confirm,5.77,-3.85,0.12207,0.09597,2.08768,,,,,0.06056,15.8228,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sh603687,大胜达,113.11,2026-03-16,2026-04-17,9.76,20.8,-19.71,2026-04-17,2026-04-24,20.8,16.7,52.09,995412971.16,2026-03-16,0,,False,,0,,,,,2026-03-16,setup_rejected,39.33,False,成交额<2.5亿;setup_score<50,145306931.0,89.12,-15.43,0.11853,0.09172,-1.98,-0.05929,2026-03-16,2026-03-18,,no_pullback_confirm,11.27,0.0,0.03649,0.0017,1.39565,,,,,0.57608,1.2354,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sz002428,云南锗业,112.97,2026-03-19,2026-04-23,38.86,82.76,-20.69,2026-03-11,2026-03-19,49.0,38.86,68.83,4435436847.11,2026-03-19,0,,False,,0,,,,,2026-03-19,setup_rejected,36.63,False,setup_score<50;前20日涨幅>12,1359013011.98,65.78,15.8,-0.1517,-0.17562,-9.79,0.06089,2026-03-23,2026-03-25,2026-03-27,pullback_absorption_confirm,19.29,0.0,0.08015,0.09196,1.62102,0.15505,0.11179,0.6694,12.0,0.0034,2.1967,missed,起点前已涨过/过热,S02趋势中继
sh600666,奥瑞德,112.64,2026-03-04,2026-04-20,3.56,7.57,-22.06,2026-04-20,2026-04-24,7.57,5.9,54.78,2483240659.07,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,34.32,False,setup_score<50,394487186.4,58.39,-2.15,0.0304,-0.0011,-7.61,0.05536,2026-03-04,2026-03-06,,no_pullback_confirm,11.05,0.0,0.10991,0.10357,1.43417,,,,,0.56755,1.4164,missed,低位资金结构不达标,S01可优化打分，但不宜放松过多
sh600105,永鼎股份,111.53,2026-03-24,2026-04-24,24.11,51.0,-23.46,2026-03-02,2026-03-24,31.5,24.11,60.37,4824155111.02,2026-03-24,1,2026-03-27,False,,0,,,,,2026-03-24,anchor_chain_passed,60.7,True,锚点附近链路可通过,2254752936.9,74.0,-8.89,0.09039,0.0783,-6.46,0.03839,2026-03-26,2026-03-30,2026-04-01,pullback_absorption_confirm,9.06,0.0,0.05742,0.05229,0.85428,0.1749,0.16715,-0.16151,52.0,0.42731,1.1136,missed,有发现但无回调确认,S02/等待中继，不强塞S01
sz003036,泰坦股份,109.02,2026-03-04,2026-04-24,16.07,33.59,-18.63,2026-03-31,2026-04-03,28.88,23.5,91.94,318153260.37,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,38.72,False,成交额<2.5亿;setup_score<50,75161012.62,44.91,2.57,-0.00853,-0.00499,-10.5,0.06797,2026-03-04,2026-03-06,2026-03-25,pullback_absorption_confirm,8.61,-1.26,0.05827,0.05383,2.49583,-0.00836,0.01386,-0.06079,22.0,0.11402,0.0,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sh605299,舒华体育,106.55,2026-03-04,2026-04-08,11.61,23.98,-26.81,2026-04-08,2026-04-14,23.98,17.55,72.83,673781758.51,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,0.09,False,成交额<2.5亿;setup_score<50,80759575.0,83.28,7.34,-0.0973,-0.11064,-5.66,0.02668,,,,no_launch,,,,,,,,,,,,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
sh603773,沃格光电,104.84,2026-04-07,2026-04-23,32.22,66.0,-28.53,2026-03-17,2026-04-07,45.08,32.22,46.7,708861023.05,2026-04-07,0,,False,,0,,,,,2026-04-07,setup_rejected,41.94,False,setup_score<50,265543063.59,68.14,-11.25,0.11536,0.09912,-0.15,-0.01854,2026-04-07,2026-04-09,,no_pullback_confirm,19.21,0.0,0.12086,0.12448,1.74998,,,,,0.67648,1.5773,missed,低位资金结构不达标,S01可优化打分，但不宜放松过多
sz002528,ST英飞拓,103.24,2026-03-04,2026-04-20,2.78,5.65,-19.27,2026-03-13,2026-03-23,3.84,3.1,80.57,139117236.06,2026-03-04,0,,False,,0,,,,,2026-03-04,setup_rejected,7.58,False,成交额<2.5亿;setup_score<50;前20日涨幅>12;资金价格背离不足,98615333.91,12.0,20.58,-0.19408,-0.15421,0.34,-0.00771,2026-03-04,2026-03-06,,no_pullback_confirm,5.98,0.0,-0.00187,0.05444,1.95608,,,,,8e-05,0.0,missed,发现层成交额硬门槛,S01优先优化：绝对成交额改相对流动性/换手
